"ROWNUM","name","adress","okrug","rayon","form_of_incorporation","submission","tip_uchrezhdeniya","vid_uchrezhdeniya","telephone","web_site","e_mail","X","Y","global_id"
"18","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 13 имени С.Я.Маршака","125183 г. Москва ул. Б. Академическая, д. 77-а, строение 1","Северный административный округ","район Коптево","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","482-50-92","pk13.mskcollege.ru/","pk13@prof.educom.ru","37,551662","55,844602","86893837"
"19","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 14","127282, г. Москва, ул. Грекова, д. 3 к. 1","Северо-Восточный административный округ","район Северное Медведково","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 478-33-75; (499) 478-38-98; (499) 478-33-75; (499) 478-09-22; (499) 478-91-40; (499) 478-21-62; (499) 479-89-33; (499) 478-02-49","pk14.mskcollege.ru","PK14@prof.educom.ru","37,659394","55,88467","86893838"
"20","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 15","115404 г. Москва, ул.Бирюлевская, д.28","Южный административный округ","район Бирюлёво Восточное","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","326-81-29","pk15.mskcollege.ru/","pk15@prof.educom.ru","37,661277","55,593499","86893839"
"21","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 16","129594, г. Москва, улица  Шереметьевская, дом 28","Северо-Восточный административный округ","район Марьина Роща","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 618-01-00; (495) 619-66-64","pk16.mskcollege.ru","pk16@prof.educom.ru","37,616458","55,806403","86893840"
"22","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 18 "Митино"","125368, г. Москвы, ул. Митинская, д. 45, к. 3","Северо-Западный административный округ","район Митино","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","751-60-49","pk18.mskcollege.ru","PK18@prof.educom.ru","37,349535","55,850169","86893841"
"23","Государственное  бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж №10","109457 г. Москва, ул. Федора Полетаева, д. 2, корп. 7","Юго-Восточный административный округ","район Кузьминки","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 175-83-16; (499) 742-44-74; (495) 379-50-85","pk10.mskcollege.ru/","pk10@prof.educom.ru","37,770481","55,713573","86893842"
"24","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский государственный колледж моделирования обуви и маркетинга"","107564, г. Москва, ул. Краснобогатырская, д. 38","Восточный административный округ","район Богородское","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","963-34-55","k69.mskcollege.ru/","69@prof.educom.ru","37,702604","55,810354","86893871"
"25","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский государственный колледж книжного бизнеса и информационных технологий"","125130, г. Москва, ул. З. и А. Космодемьянских, д. 19","Северный административный округ","Войковский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","450-03-23",,"68@prof.educom.ru","37,51632","55,823067","86930660"
"26","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Колледж полиции"","125363, г. Москва, улица Фабрициуса, дом 26","Северо-Западный административный округ","район Южное Тушино","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499)492-70-01,(499) 492-70-01",,"police.coll@yandex.ru","37,440805","55,843992","86930671"
"27","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Юридический колледж"","115569, Москва, Шипиловская ул., д. 17, к. 1, стр. 1","Южный административный округ","район Орехово-Борисово Северное","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495)392-72-44,(495) 392-72-44",,"se@lawcol.ru","37,708019","55,619849","86930672"
"28","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 2","119121 г. Москва, ул.Тимура Фрунзе, д. 28","Центральный административный округ","район Хамовники","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 253-59-31",,"02@prof.educom.ru","37,694982","55,779942","86930684"
"29","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 3","109029 г. Москва, ул. Б.Калитниковская, д. 36, стр. 1","Центральный административный округ","Таганский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","670-50-81",,"03@prof.educom.ru","37,659488","55,786918","86930685"
"30","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж малого бизнеса № 4","115054 г. Москва, ул. Дубининская, д. 25, стр. 1","Центральный административный округ","район Замоскворечье","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 235-46-57","k04.mskcollege.ru","04@prof.educom.ru","37,637795","55,726436","86930686"
"31","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж легкой промышленности № 5","127051, г. Москва, 3-ий Колобовский пер., д. 8, стр. 2","Центральный административный округ","Тверской район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","699-54-93",,"05@prof.educom.ru","37,618878","55,769644","86930687"
"32","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Коммерческо-банковский колледж № 6","123557 г. Москва, ул. Пресненский Вал, д. 15, стр. 1","Центральный административный округ","Красносельский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 253-59-31","k06.mskcollege.ru","06@prof.educom.ru","37,638819","55,774272","86930688"
"33","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж архитектуры и строительства № 7","125315, г. Москва, ул. Усиевича, д. 31","Северный административный округ","район Аэропорт","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","611-54-38","k07.mskcollege.ru/","07@prof.educom.ru","37,51802","55,807643","86930689"
"34","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж автомобильного транспорта № 9","127591 г. Москва, Керамический пр-д, д.59","Северный административный округ","Алтуфьевский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 901-48-00","k09.mskcollege.ru","09@prof.educom.ru","37,581893","55,803662","86930690"
"35","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 10","127434, г. Москва, Дмитровское шоссе, д. 11 А","Северный административный округ","Тимирязевский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 488-33-00","k10.mskcollege.ru/","10@prof.educom.ru","37,552825","55,859851","86930691"
"36","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 12","129337 г. Москва. Хибинский проезд, д. 10","Северо-Восточный административный округ","Ярославский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 183-45-56; (499) 183-33-47; (499) 183-89-04; (499) 183-41-10; (499) 188-44-81",,"12@prof.educom.ru","37,580925","55,816407","86930692"
"37","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Технологический Колледж №14","127282, г. Москва, ул. Тихомирова, д. 10, к. 1","Северо-Восточный административный округ","район Ростокино","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","689-30-26",,"14@prof.educom.ru","37,604648","55,795397","86930693"
"38","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж предпринимательства № 15","129281 г. Москва, Староватутинский проезд, д. 6","Северо-Восточный административный округ","Бабушкинский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 184-21-27; (499) 184-20-77",,"15@prof.educom.ru","37,67262","55,874467","86930694"
"39","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж по подготовке социальных работников № 16","127015 г. Москва, улица  Большая Новодмитровская, дом  63","Северо-Восточный административный округ","Бутырский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 760-89-97",,"16@prof.educom.ru","37,583831","55,805136","86930695"
"40","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж архитектуры и менеджмента в строительстве № 17","105203, город  Москва, 12-я Парковая улица,  дом 13/96  стр. 1-2","Восточный административный округ","район Восточное Измайлово","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","963-27-57",,"17@prof.educom.ru","37,712347","55,789603","86930696"
"41","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж ландшафтного дизайна № 18","105568, г. Москва, ул. Чечулина, д. 3, корп. 1","Восточный административный округ","район Ивановское","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 164-69-52","k18.mskcollege.ru","18@prof.educom.ru","37,823353","55,780385","86930697"
"42","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 19","111555, г. Москва, Напольный пр-д, д. 9","Восточный административный округ","район Ивановское","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 369-05-11; (499) 369-50-06; (499) 369-53-50","k19.mskcollege.ru/","19@prof.educom.ru","37,705414","55,799899","86930698"
"43","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж автомотизации и информационных технологий № 20","105037, г. Москва, ул. 1-я Парковая,  д. 12","Восточный административный округ","район Измайлово","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 163-40-83",,"20@prof.educom.ru","37,780301","55,799452","86930699"
"44","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Технологический колледж № 21","107143 г. Москва, ул. Вербная, д. 4, стр. 1","Восточный административный округ","район Метрогородок","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 160-14-33; (499) 160-03-30","k21.mskcollege.ru","21@prof.educom.ru","37,77616","55,824377","86930700"
"45","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Экономико-технологический Колледж № 22","105203, г. Москва, улица 14-я Парковая, д. 4 Б","Восточный административный округ","район Восточное Измайлово","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","465-15-03",,"22@prof.educom.ru","37,813343","55,793758","86930701"
"46","Государственное бюджетное образовательное  учреждение среднего профессионального образования города Москвы Колледж индустрии гостеприимства и менеджмента № 23","107564, г. Москва, Погонный проезд,  д. 5","Восточный административный округ","район Богородское","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","963-15-53",,"23@prof.educom.ru","37,704536","55,821966","86930702"
"47","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 26","109559, г. Москва, ул. Цимлянская, д. 7, стр. 1","Юго-Восточный административный округ","район Люблино","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 673-51-90; (495) 673-30-00; (495) 673-15-96; (495) 673-34-93; (495) 673-14-90","k26.mskcollege.ru/","26@prof.educom.ru","37,750976","55,69491","86930703"
"48","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж автоматизации и радиоэлектроники № 27 имени П.М.Вострухина","109428, г. Москва, Рязанский проспект, д. 8, стр. 1, стр. 2","Юго-Восточный административный округ","Рязанский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 355-24-38; (495) 355-24-82; (495) 355-25-00","k27.mskcollege.ru/","27@prof.educom.ru","37,741592","55,737994","86930704"
"49","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 30","115419 г. Москва, ул. Академика Петровского,  д.10","Южный административный округ","Донской район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 236-73-46","k30.mskcollege.ru","colledge@ck-30.ru","37,64198","55,593694","86930705"
"50","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический колледж № 31","115280 г. Москва, ул. Автозаводская д. 25","Южный административный округ","Даниловский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 952-10-60","k31.mskcollege.ru/","31@prof.educom.ru","37,630548","55,702664","86930706"
"51","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сферы услуг № 32","119071 г. Москва, ул. Орджоникидзе, д. 15, стр. 1","Южный административный округ","Донской район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 236-72-46","k32.mskcollege.ru","32@prof.educom.ru","37,588569","55,709424","86930707"
"52","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Пищевой колледж № 33","115404 г. Москва, ул. 6-ая Радиальная, д. 10","Южный административный округ","район Царицыно","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","327-52-35","k33.mskcollege.ru/","33@prof.educom.ru","37,664969","55,608277","86930708"
"53","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Технологический колледж № 34","115230 г. Москва, ул. Нагатинская д. 4, к. 1","Южный административный округ","район Нагатино-Садовники","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","633-29-08",,"34@prof.educom.ru","37,623201","55,629124","86930709"
